製品名,プラットフォーム,更新日,ダウンロード
Accessibility Insights for Android,"Windows, Mac, Linux",2024/05/14,"https://vpatj.azurewebsites.net/file/Accessibility_Insights_for_Android_Windows_Mac_Linux_VPATJ00350.xlsx"
Accessibility Insights for Web,Web,2026/02/19,"https://vpatj.azurewebsites.net/file/Accessibility_Insights_for_Web_VPATJ00360.xlsx"
Account.Microsoft.com,Web,2026/06/08,"https://vpatj.azurewebsites.net/file/Account.Microsoft.com_Web_VPATJ00381.xlsx"
Accessibility Insights for Windows,Win32,2026/05/05,"https://vpatj.azurewebsites.net/file/Accessibility_Insights_for_Windows_Win32_VPATJ00382.xlsx"
Accounts Portal,Azure,2025/11/03,"https://vpatj.azurewebsites.net/file/Accounts_Portal_Azure_VPATJ00400.xlsx"
accounts.bethesda.net,Web,2025/06/24,"https://vpatj.azurewebsites.net/file/accounts.bethesda.net_Web_VPATJ00401.xlsx"
ACS Developer Tools,WebApp,2024/05/14,"https://vpatj.azurewebsites.net/file/ACS_Developer_Tools_WebApp_VPATJ00410.xlsx"
ACS Email,Web,2025/05/28,"https://vpatj.azurewebsites.net/file/ACS_Email_Web_VPATJ00420.xlsx"
ACS Sample Builder,Web,2025/04/17,"https://vpatj.azurewebsites.net/file/ACS_Sample_Builder_Web_VPATJ00430.xlsx"
Action Center,Web,2026/04/24,"https://vpatj.azurewebsites.net/file/Action_Center_Web_VPATJ00440.xlsx"
Actionable Messages Designer,Web,2025/09/15,"https://vpatj.azurewebsites.net/file/Actionable_Messages_Designer_Web_VPATJ00450.xlsx"
Activate (PRSS - RDSLM),Web,2025/09/09,"https://vpatj.azurewebsites.net/file/Activate_PRSS_-_RDSLM_Web_VPATJ00460.xlsx"
Activator,Web,2025/12/01,"https://vpatj.azurewebsites.net/file/Activator_Web_VPATJ00461.xlsx"
Active Directory Ibiza UX - RBAC,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Active_Directory_Ibiza_UX_-_RBAC_Web_VPATJ00470.xlsx"
Active Directory Migration Service,Web,2024/09/26,"https://vpatj.azurewebsites.net/file/Active_Directory_Migration_Service_Web_VPATJ00471.xlsx"
ADM workload,Web,2026/06/17,"https://vpatj.azurewebsites.net/file/ADM_workload_Web_VPATJ00481.xlsx"
ADRS,Azure,2025/06/30,"https://vpatj.azurewebsites.net/file/ADRS_Azure_VPATJ00490.xlsx"
Advanced Threat Analytics,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/Advanced_Threat_Analytics_Win32_VPATJ00500.xlsx"
AdventureWorks Mobile for iOS and Android,iOS and Android,2024/05/14,"https://vpatj.azurewebsites.net/file/AdventureWorks_Mobile_for_iOS_and_Android_VPATJ00510.xlsx"
AFO AO5GC 1.0,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/AFO_AO5GC_1.0_Web_VPATJ00520.xlsx"
AFOI-Network Cloud,Azure,2026/04/21,"https://vpatj.azurewebsites.net/file/AFOI-Network_Cloud_Azure_VPATJ00530.xlsx"
Age Rating,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Age_Rating_Web_VPATJ00540.xlsx"
Agents in SharePoint,Web,2025/11/18,"https://vpatj.azurewebsites.net/file/Agents_in_SharePoint_Web_VPATJ00541.xlsx"
Agreement - Volume Licensing Contract Manager- VLCM,Web,2026/05/22,"https://vpatj.azurewebsites.net/file/Agreement_-_Volume_Licensing_Contract_Manager-_VLCM_Web_VPATJ00560.xlsx"
AI Builder - Studio,Web,2026/04/27,"https://vpatj.azurewebsites.net/file/AI_Builder_-_Studio_Web_VPATJ00570.xlsx"
AI Toolkit for VS Code,Win32,2025/09/29,"https://vpatj.azurewebsites.net/file/AI_Toolkit_for_VS_Code_Win32_VPATJ00571.xlsx"
AI Skills Navigator (Preview),Web,2026/02/10,"https://vpatj.azurewebsites.net/file/AI_Skills_Navigator_Preview_Web_VPATJ00572.xlsx"
Ally Marketing Website,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Ally_Marketing_Website_VPATJ00580.xlsx"
Amplify Assist SaRA and Diagnostics,Win32,2024/10/03,"https://vpatj.azurewebsites.net/file/Amplify_Assist_SaRA_and_Diagnostics_Win32_VPATJ00590.xlsx"
Android Company Portal,Android,2026/02/06,"https://vpatj.azurewebsites.net/file/Android_Company_Portal_VPATJ00591.xlsx"
Apache Airflow on Astro - An Azure Native ISV Service,Azure,2026/05/27,"https://vpatj.azurewebsites.net/file/Apache_Airflow_on_Astro_-_An_Azure_Native_ISV_Service_VPATJ00600.xlsx"
API Management,"Web, Azure",2025/12/22,"https://vpatj.azurewebsites.net/file/API_Management_Web_Azure_VPATJ00602.xlsx"
App Catalog,Web,2024/09/05,"https://vpatj.azurewebsites.net/file/App_Catalog_Web_VPATJ00610.xlsx"
App Compliance Automation Tool for Microsoft 365,Web,2025/04/03,"https://vpatj.azurewebsites.net/file/App_Compliance_Automation_Tool_for_Microsoft_365_Web_VPATJ00611.xlsx"
App Identity Health,Azure,2026/06/10,"https://vpatj.azurewebsites.net/file/App_Identity_Health_Azure_VPATJ00612.xlsx"
App Center,Web,2026/06/02,"https://vpatj.azurewebsites.net/file/App_Center_Web_VPATJ00613.xlsx"
App Insights Profiler and Debugger,Azure,2025/10/02,"https://vpatj.azurewebsites.net/file/App_Insights_Profiler_and_Debugger_Azure_VPATJ00630.xlsx"
App Service (Web Apps),Web,2026/03/19,"https://vpatj.azurewebsites.net/file/App_Service_Web_Apps_VPATJ00640.xlsx"
App Service on Azure Stack,Azure,2025/10/07,"https://vpatj.azurewebsites.net/file/App_Service_on_Azure_Stack_VPATJ00650.xlsx"
Application Analytics,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Application_Analytics_Web_VPATJ00660.xlsx"
Application Change Analysis,Azure,2024/10/30,"https://vpatj.azurewebsites.net/file/Application_Change_Analysis_Azure_VPATJ00670.xlsx"
Application Change Analysis,Web,2025/05/29,"https://vpatj.azurewebsites.net/file/Application_Change_Analysis_Web_VPATJ00671.xlsx"
Application Gateway,Azure,2025/10/15,"https://vpatj.azurewebsites.net/file/Application_Gateway_Azure_VPATJ00680.xlsx"
Application Gateway for Containers,Azure,2026/06/03,"https://vpatj.azurewebsites.net/file/Application_Gateway_for_Containers_Azure_VPATJ00690.xlsx"
Application Insights,Azure,2026/02/25,"https://vpatj.azurewebsites.net/file/Application_Insights_Azure_VPATJ00700.xlsx"
Applied Sciences,Web,2025/10/14,"https://vpatj.azurewebsites.net/file/Applied_Sciences_Web_VPATJ00701.xlsx"
Applied Sciences Web Site,Web,2024/07/09,"https://vpatj.azurewebsites.net/file/Applied_Sciences_Web_Site_VPATJ00710.xlsx"
AppRegPortal,Azure,2024/08/06,"https://vpatj.azurewebsites.net/file/AppRegPortal_Azure_VPATJ00720.xlsx"
AppRegPortal,Ibiza,2025/07/22,"https://vpatj.azurewebsites.net/file/AppRegPortal_Ibiza_VPATJ00721.xlsx"
APRD Communications,Web,2025/09/03,"https://vpatj.azurewebsites.net/file/APRD_Communications_Web_VPATJ00730.xlsx"
Arc User Experiences,Azure,2026/06/02,"https://vpatj.azurewebsites.net/file/Arc_User_Experiences_Azure_VPATJ00740.xlsx"
ASP.NET Core,All platforms,2025/09/24,"https://vpatj.azurewebsites.net/file/ASP.NET_Core_All_platforms_VPATJ00741.xlsx"
Arc User Experiences,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Arc_User_Experiences_Web_VPATJ00750.xlsx"
Asset - OSDC,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Asset_-_OSDC_Web_VPATJ00760.xlsx"
Asset - Tenant Management,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Asset_-_Tenant_Management_Web_VPATJ00770.xlsx"
Asset Legacy Components,Web,2025/05/30,"https://vpatj.azurewebsites.net/file/Asset_Legacy_Components_Web_VPATJ00780.xlsx"
Assignment within Teams for Web_Win32_Android_iOS,"Teams-Android, Teams-iOS, Teams-Web, Teams-Win32",2025/09/10,"https://vpatj.azurewebsites.net/file/Assignment_within_Teams_for_Web_Win32_Android_iOS_Teams-Android_Teams-iOS_Teams-Web_Teams-Win32_VPATJ00800.xlsx"
ASZ-OEM-Appliance Local UI,Web,2024/07/19,"https://vpatj.azurewebsites.net/file/ASZ-OEM-Appliance_Local_UI_Web_VPATJ00810.xlsx"
Avatars for Teams,Win32,2025/10/22,"https://vpatj.azurewebsites.net/file/Avatars_for_Teams_Win32_VPATJ00811.xlsx"
Avere Azure Storage Cache,Azure,2025/07/16,"https://vpatj.azurewebsites.net/file/Avere_Azure_Storage_Cache_VPATJ00820.xlsx"
Axe.Windows,Windows,2024/05/14,"https://vpatj.azurewebsites.net/file/Axe.Windows_VPATJ00830.xlsx"
AzDev- azure-devops-ui doc site,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/AzDev-_azure-devops-ui_doc_site_Web_VPATJ00840.xlsx"
AzDev Test & Feedback extension,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/AzDev_Test_&_Feedback_extension_Web_VPATJ00850.xlsx"
AzDev Test and Feedback extension,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/AzDev_Test_and_Feedback_extension_Azure_VPATJ00860.xlsx"
AzDev Test Runner (Azure Test Plans),"Electron based windows application, Win64, Win32",2024/05/14,"https://vpatj.azurewebsites.net/file/AzDev_Test_Runner_Azure_Test_Plans_Electron_based_windows_application_Win64_Win32_VPATJ00870.xlsx"
AzDev-ALM Search,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/AzDev-ALM_Search_Azure_VPATJ00880.xlsx"
AzDev-azure-devops-ui,npm package,2024/05/14,"https://vpatj.azurewebsites.net/file/AzDev-azure-devops-ui_npm_package_VPATJ00890.xlsx"
AzDev-Extension Management,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/AzDev-Extension_Management_Web_VPATJ00900.xlsx"
AzDev-Feeds,Web,2026/05/22,"https://vpatj.azurewebsites.net/file/AzDev-Feeds_Web_VPATJ00901.xlsx"
AzDev-GitHub Advanced Security for Azure DevOps,Web,2025/08/21,"https://vpatj.azurewebsites.net/file/AzDev-GitHub_Advanced_Security_for_Azure_DevOps_Web_VPATJ00920.xlsx"
AzDev-SPS Acquisition Experience,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/AzDev-SPS_Acquisition_Experience_Web_VPATJ00930.xlsx"
AzDev-SPS Commerce And Licensing,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/AzDev-SPS_Commerce_And_Licensing_Web_VPATJ00940.xlsx"
AzDev-Team Foundation Service,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/AzDev-Team_Foundation_Service_Web_VPATJ00950.xlsx"
Azure Active Directory Connect,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Active_Directory_Connect_Win32_VPATJ00960.xlsx"
Azure Active Directory Connect (Entra ID Connect),Win32,2026/01/06,"https://vpatj.azurewebsites.net/file/Azure_Active_Directory_Connect_Entra_ID_Connect_Win32_VPATJ00961.xlsx"
Azure Active Directory Domain Services,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Active_Directory_Domain_Services_VPATJ00970.xlsx"
Azure Active Directory Identity and Access Management experience,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Active_Directory_Identity_and_Access_Management_experience_Web_VPATJ00980.xlsx"
Azure Active Directory User Provisioning,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Active_Directory_User_Provisioning_VPATJ00990.xlsx"
Azure AD Access Reviews,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_AD_Access_Reviews_VPATJ01000.xlsx"
Azure AD B2C - Administrator Portal,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_AD_B2C_-_Administrator_Portal_Web_VPATJ01010.xlsx"
Azure AD B2C - Consumer Experiences,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_AD_B2C_-_Consumer_Experiences_Web_VPATJ01020.xlsx"
Azure AD Connect Health,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_AD_Connect_Health_VPATJ01030.xlsx"
Azure AD Device Registration Services,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_AD_Device_Registration_Services_VPATJ01040.xlsx"
Azure AD Entitlement Management,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_AD_Entitlement_Management_VPATJ01050.xlsx"
Azure AD managed identities for Azure resources,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_AD_managed_identities_for_Azure_resources_VPATJ01060.xlsx"
