製品名,プラットフォーム,更新日,ダウンロード
Data Protection and Threat Resistance: Windows security - Device Security Pillar UI,Universal,2024/05/14,"https://vpatj.azurewebsites.net/file/Data_Protection_and_Threat_Resistance_Windows_security_-_Device_Security_Pillar_UI_Universal_VPATJ04550.xlsx"
Data Science Toolkit,Web,2024/05/22,"https://vpatj.azurewebsites.net/file/Data_Science_Toolkit_Web_VPATJ04560.xlsx"
Data Wrangler for Visual Studio Code,"Mac, Win32, Linux, Web",2026/02/26,"https://vpatj.azurewebsites.net/file/Data_Wrangler_for_Visual_Studio_Code_Mac_Win32_Linux_Web_VPATJ04570.xlsx"
Database Migration Assessment for Oracle,Win32,2024/07/03,"https://vpatj.azurewebsites.net/file/Database_Migration_Assessment_for_Oracle_Win32_VPATJ04580.xlsx"
Database Schema Conversion Toolkit,"Electron_Xplat, Web, Win32",2024/05/14,"https://vpatj.azurewebsites.net/file/Database_Schema_Conversion_Toolkit_Electron_Xplat_Web_Win32_VPATJ04590.xlsx"
Databox Datacenter Infra Service,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/Databox_Datacenter_Infra_Service_Win32_VPATJ04600.xlsx"
DataBox Pod & Disk Service,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/DataBox_Pod_&_Disk_Service_Azure_VPATJ04610.xlsx"
Datacenter Academy Website,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Datacenter_Academy_Website_VPATJ04620.xlsx"
Dataverse Visual Studio Extension,Win32,2026/02/11,"https://vpatj.azurewebsites.net/file/Dataverse_Visual_Studio_Extension_Win32_VPATJ04630.xlsx"
DC Admin- Microsoft Supply chain - Repair & Warranty,Web,2025/10/09,"https://vpatj.azurewebsites.net/file/DC_Admin-_Microsoft_Supply_chain_-_Repair_&_Warranty_Web_VPATJ04631.xlsx"
Debug Diagnostic Tool,Web,2024/05/22,"https://vpatj.azurewebsites.net/file/Debug_Diagnostic_Tool_Web_VPATJ04640.xlsx"
Deep Noise Suppression - Challenge,Web,2025/08/13,"https://vpatj.azurewebsites.net/file/Deep_Noise_Suppression_-_Challenge_Web_VPATJ04650.xlsx"
Defender for CSPM,Azure,2025/11/19,"https://vpatj.azurewebsites.net/file/Defender_for_CSPM_Azure_VPATJ04651.xlsx"
Defender for Data - DSPM,Azure,2025/09/09,"https://vpatj.azurewebsites.net/file/Defender_for_Data_-_DSPM_Azure_VPATJ04652.xlsx"
Defender for CSPM - CIEM,Azure,2026/02/25,"https://vpatj.azurewebsites.net/file/Defender_for_CSPM_-_CIEM_Azure_VPATJ04653.xlsx"
Defender for IoT,Azure,2025/09/11,"https://vpatj.azurewebsites.net/file/Defender_for_IoT_Azure_VPATJ04660.xlsx"
Defender for Servers,Azure,2026/03/29,"https://vpatj.azurewebsites.net/file/Defender_for_Servers_Azure_VPATJ04661.xlsx"
Delve,Web,2024/10/03,"https://vpatj.azurewebsites.net/file/Delve_Web_VPATJ04670.xlsx"
Demeter-CommerceApi,Web,2025/06/13,"https://vpatj.azurewebsites.net/file/Demeter-CommerceApi_Web_VPATJ04671.xlsx"
DES-DFS,Web,2025/07/28,"https://vpatj.azurewebsites.net/file/DES-DFS_Web_VPATJ04672.xlsx"
Designed for Surface,Web,2025/01/14,"https://vpatj.azurewebsites.net/file/Designed_for_Surface_Web_VPATJ04680.xlsx"
Desired State Configuration,"Win32, iOS, Linux",2025/12/09,"https://vpatj.azurewebsites.net/file/Desired_State_Configuration_Win32_iOS_Linux_VPATJ04681.xlsx"
DevBlogs,Web,2025/08/04,"https://vpatj.azurewebsites.net/file/DevBlogs_Web_VPATJ04690.xlsx"
DevCenter,Web,2026/06/03,"https://vpatj.azurewebsites.net/file/DevCenter_Web_VPATJ04700.xlsx"
DevCOM,Web,2026/01/31,"https://vpatj.azurewebsites.net/file/DevCOM_Web_VPATJ04710.xlsx"
DevDiv Status,Web,2026/01/23,"https://vpatj.azurewebsites.net/file/DevDiv_Status_Web_VPATJ04720.xlsx"
"Developer Accounts (AMS, AUS)",Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Developer_Accounts_AMS_AUS_Web_VPATJ04730.xlsx"
Developer Analytics,Web,2025/04/04,"https://vpatj.azurewebsites.net/file/Developer_Analytics_Web_VPATJ04740.xlsx"
Developer Portal,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Developer_Portal_Web_VPATJ04750.xlsx"
Developer Ticketing System,Web,2026/04/28,"https://vpatj.azurewebsites.net/file/Developer_Ticketing_System_Web_VPATJ04751.xlsx"
Device Partner Center,Web,2024/07/29,"https://vpatj.azurewebsites.net/file/Device_Partner_Center_Web_VPATJ04760.xlsx"
Device Update Center,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Device_Update_Center_Web_VPATJ04770.xlsx"
Device Update for IoT Hub,Azure,2025/12/03,"https://vpatj.azurewebsites.net/file/Device_Update_for_IoT_Hub_Azure_VPATJ04780.xlsx"
DevRel - Channel 9,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/DevRel_-_Channel_9_Web_VPATJ04790.xlsx"
DevRel - Doc sites and Open Publishing Services,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/DevRel_-_Doc_sites_and_Open_Publishing_Services_Web_VPATJ04800.xlsx"
DevRel - Q&A Technical Forums,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/DevRel_-_Q&A_Technical_Forums_Web_VPATJ04820.xlsx"
DEX-XDR Reporting Services,Web,2024/05/20,"https://vpatj.azurewebsites.net/file/DEX-XDR_Reporting_Services_Web_VPATJ04830.xlsx"
DIAG Project Radiance,Web,2025/05/14,"https://vpatj.azurewebsites.net/file/DIAG_Project_Radiance_Web_VPATJ04831.xlsx"
Diablo Immortal Redemption,Web,2025/06/25,"https://vpatj.azurewebsites.net/file/Diablo_Immortal_Redemption_Web_VPATJ04832.xlsx"
Digital Reservation Portal,Web,2024/08/09,"https://vpatj.azurewebsites.net/file/Digital_Reservation_Portal_Web_VPATJ04840.xlsx"
Digital Safety Report A Concern Experience,Web,2025/10/17,"https://vpatj.azurewebsites.net/file/Digital_Safety_Report_A_Concern_Experience_Web_VPATJ04850.xlsx"
Digital Safety: Appeals experience,Web,2025/10/15,"https://vpatj.azurewebsites.net/file/Digital_Safety_Appeals_experience_Web_VPATJ04851.xlsx"
Digital Safety: Concerns Platform,Web,2025/10/14,"https://vpatj.azurewebsites.net/file/Digital_Safety_Concerns_Platform_Web_VPATJ04852.xlsx"
Digital Safety: PhotoDNA,WebApp,2025/07/17,"https://vpatj.azurewebsites.net/file/Digital_Safety_PhotoDNA_WebApp_VPATJ04860.xlsx"
Dime (E+D Growth),Cross-Plat,2026/04/30,"https://vpatj.azurewebsites.net/file/Dime_ED_Growth_Cross-Plat_VPATJ04861.xlsx"
Disc Royalty Service,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Disc_Royalty_Service_Web_VPATJ04870.xlsx"
Disc Royalty Service 2024,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Disc_Royalty_Service_2024_Web_VPATJ04880.xlsx"
Disc Royalty Service 2025,Web,2024/09/30,"https://vpatj.azurewebsites.net/file/Disc_Royalty_Service_2025_Web_VPATJ04881.xlsx"
DMA WASC - Windows Account Sync Consent,Win32,2025/01/31,"https://vpatj.azurewebsites.net/file/DMA_WASC_-_Windows_Account_Sync_Consent_Win32_VPATJ04890.xlsx"
DMC Syndication Module (Partner Dashboard),Web,2024/07/19,"https://vpatj.azurewebsites.net/file/DMC_Syndication_Module_Partner_Dashboard_Web_VPATJ04900.xlsx"
Docs - Authoring Tools,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/Docs_-_Authoring_Tools_Win32_VPATJ04910.xlsx"
DocumentDB for VS Code Extension,VS Code,2026/05/21,"https://vpatj.azurewebsites.net/file/DocumentDB_for_VS_Code_Extension_VPATJ04911.xlsx"
DPS DPP Registration,Web,2026/04/08,"https://vpatj.azurewebsites.net/file/DPS_DPP_Registration_Web_VPATJ04930.xlsx"
DQS (Data Quality Services),Win32,2025/04/29,"https://vpatj.azurewebsites.net/file/DQS_Data_Quality_Services_Win32_VPATJ04940.xlsx"
Dragon Desktop SDK,Win32,2025/12/11,"https://vpatj.azurewebsites.net/file/Dragon_Desktop_SDK_Win32_VPATJ04941.xlsx"
Dragon Mobile SDK iOS,iOS,2024/11/22,"https://vpatj.azurewebsites.net/file/Dragon_Mobile_SDK_iOS_VPATJ04942.xlsx"
Dragon PowerMicMobile-Android,Android,2026/03/20,"https://vpatj.azurewebsites.net/file/Dragon_PowerMicMobile-Android_VPATJ04943.xlsx"
Dragon Professional,Win32,2025/04/03,"https://vpatj.azurewebsites.net/file/Dragon_Professional_Win32_VPATJ04944.xlsx"
Dragon admin center,Web,2025/10/07,"https://vpatj.azurewebsites.net/file/Dragon_admin_center_Web_VPATJ04945.xlsx"
Dragon Legal v16,Win32,2025/07/11,"https://vpatj.azurewebsites.net/file/Dragon_Legal_v16_Win32_VPATJ04946.xlsx"
Dragon Medical One,Win32,2026/05/27,"https://vpatj.azurewebsites.net/file/Dragon_Medical_One_Win32_VPATJ04947.xlsx"
DrivenData,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/DrivenData_Web_VPATJ04950.xlsx"
Driver Servicing: Hardware Driver Ingestion,Web,2026/04/06,"https://vpatj.azurewebsites.net/file/Driver_Servicing_Hardware_Driver_Ingestion_Web_VPATJ04960.xlsx"
Driver Servicing: HDC_Flight_Report,Web,2026/03/10,"https://vpatj.azurewebsites.net/file/Driver_Servicing_HDC_Flight_Report_Web_VPATJ04970.xlsx"
Dynamic Alerts,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamic_Alerts_Azure_VPATJ04980.xlsx"
Dynamics - HCM,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_-_HCM_Web_VPATJ04990.xlsx"
Dynamics 365 - Classic Marketing Functionality,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_-_Classic_Marketing_Functionality_Web_VPATJ05000.xlsx"
"Dynamics 365 - Connected Field Service, Dynamics 365 - Field Service, Dynamics 365 - Field Service - C2 Experience - Technician Locator",Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_-_Connected_Field_Service_Dynamics_365_-_Field_Service_Dynamics_365_-_Field_Service_-_C2_Experience_-_Technician_Locator_Web_VPATJ05010.xlsx"
Dynamics 365 - Enterprise Service - Android,Android,2025/04/17,"https://vpatj.azurewebsites.net/file/Dynamics_365_-_Enterprise_Service_-_Android_VPATJ05020.xlsx"
Dynamics 365 - Enterprise Service - iOS,iOS,2025/04/17,"https://vpatj.azurewebsites.net/file/Dynamics_365_-_Enterprise_Service_-_iOS_VPATJ05030.xlsx"
Dynamics 365 - Enterprise Service - UWP,Universal,2025/04/17,"https://vpatj.azurewebsites.net/file/Dynamics_365_-_Enterprise_Service_-_UWP_Universal_VPATJ05040.xlsx"
Dynamics 365 - Enterprise Service - Web,Web,2026/01/08,"https://vpatj.azurewebsites.net/file/Dynamics_365_-_Enterprise_Service_-_Web_VPATJ05050.xlsx"
Dynamics 365 - Enterprise Service - Win32,Win32,2025/04/17,"https://vpatj.azurewebsites.net/file/Dynamics_365_-_Enterprise_Service_-_Win32_VPATJ05060.xlsx"
Dynamics 365 - Field Service - C2 Experience,Web,2024/08/08,"https://vpatj.azurewebsites.net/file/Dynamics_365_-_Field_Service_-_C2_Experience_Web_VPATJ05070.xlsx"
Dynamics 365 - Field Service - Connected Field Service,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_-_Field_Service_-_Connected_Field_Service_Web_VPATJ05080.xlsx"
Dynamics 365 - Field Service - Portal (C2 Experience),Web,2025/08/04,"https://vpatj.azurewebsites.net/file/Dynamics_365_-_Field_Service_-_Portal_C2_Experience_Web_VPATJ05081.xlsx"
Dynamics 365 - Field Service - Web,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_-_Field_Service_-_Web_VPATJ05090.xlsx"
Dynamics 365 - Home.Dynamics.Com,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_-_Home.Dynamics.Com_Web_VPATJ05100.xlsx"
Dynamics 365 - Unified Service Desk,Win32,2025/05/22,"https://vpatj.azurewebsites.net/file/Dynamics_365_-_Unified_Service_Desk_Win32_VPATJ05110.xlsx"
Dynamics 365 (December 2016 Update 1),"Online, On-premises",2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_December_2016_Update_1_Online_On-premises_VPATJ05120.xlsx"
"Dynamics 365 2017 Sales, Service, Marketing","Online, On-premises",2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_2017_Sales_Service_Marketing_Online_On-premises_VPATJ05130.xlsx"
Dynamics 365 App for Teams,Win32,2025/02/11,"https://vpatj.azurewebsites.net/file/Dynamics_365_App_for_Teams_Win32_VPATJ05131.xlsx"
Dynamics 365 Approvals Management,Android,2025/10/16,"https://vpatj.azurewebsites.net/file/Dynamics_365_Approvals_Management_Android_VPATJ05132.xlsx"
Dynamics 365 Approvals Management,iOS,2025/10/16,"https://vpatj.azurewebsites.net/file/Dynamics_365_Approvals_Management_iOS_VPATJ05133.xlsx"
Dynamics 365 App for Teams,Web,2026/02/24,"https://vpatj.azurewebsites.net/file/Dynamics_365_App_for_Teams_Web_VPATJ05134.xlsx"
Dynamics 365 Athena - CDS to Azure data lake,Web,2025/06/28,"https://vpatj.azurewebsites.net/file/Dynamics_365_Athena_-_CDS_to_Azure_data_lake_Web_VPATJ05141.xlsx"
Dynamics 365 Business Central,Web,2025/08/26,"https://vpatj.azurewebsites.net/file/Dynamics_365_Business_Central_Web_VPATJ05150.xlsx"
Dynamics 365 Commerce - module library,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Commerce_-_module_library_Web_VPATJ05160.xlsx"
Dynamics 365 Commerce - POS,Cross-Plat,2025/10/11,"https://vpatj.azurewebsites.net/file/Dynamics_365_Commerce_-_POS_Cross-Plat_VPATJ05161.xlsx"
Dynamics 365 Commerce - Rendering,Web,2025/06/13,"https://vpatj.azurewebsites.net/file/Dynamics_365_Commerce_-_Rendering_Web_VPATJ05180.xlsx"
Dynamics 365 Commerce - Site builder,Web,2025/06/05,"https://vpatj.azurewebsites.net/file/Dynamics_365_Commerce_-_Site_builder_Web_VPATJ05190.xlsx"
Dynamics 365 Commerce- SSK,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Commerce-_SSK_Web_VPATJ05200.xlsx"
Dynamics 365 Connected Spaces,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Connected_Spaces_Web_VPATJ05210.xlsx"
Dynamics 365 Customer Engagement - LinkedIn Sales Navigator Integration,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Engagement_-_LinkedIn_Sales_Navigator_Integration_Web_VPATJ05220.xlsx"
Dynamics 365 Customer Engagement - Portal,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Engagement_-_Portal_Azure_VPATJ05230.xlsx"
Dynamics 365 Customer Engagement - Sales,Win32,2026/03/07,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Engagement_-_Sales_Win32_VPATJ05240.xlsx"
Dynamics 365 Customer Engagement - Sales,Surface,2026/03/07,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Engagement_-_Sales_Surface_VPATJ05250.xlsx"
Dynamics 365 Customer Engagement - Sales,Android,2026/03/07,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Engagement_-_Sales_Android_VPATJ05260.xlsx"
Dynamics 365 Customer Engagement - Sales,iOS,2026/03/06,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Engagement_-_Sales_iOS_VPATJ05270.xlsx"
Dynamics 365 Customer Engagement - Sales,Web,2026/03/07,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Engagement_-_Sales_Web_VPATJ05280.xlsx"
Dynamics 365 Customer Engagement - Voice of the Customer,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Engagement_-_Voice_of_the_Customer_Azure_VPATJ05290.xlsx"
Dynamics 365 Customer Insights,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Insights_Azure_VPATJ05300.xlsx"
Dynamics 365 Customer Insights,Web,2025/10/17,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Insights_Web_VPATJ05310.xlsx"
Dynamics 365 Customer Insights Data and Journeys - Outbound Marketing,Android,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Insights_Data_and_Journeys_-_Outbound_Marketing_Android_VPATJ05320.xlsx"
Dynamics 365 Customer Insights Data and Journeys - Outbound Marketing,iOS,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Insights_Data_and_Journeys_-_Outbound_Marketing_iOS_VPATJ05330.xlsx"
Dynamics 365 Customer Insights Data and Journeys - Outbound Marketing,Surface,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Insights_Data_and_Journeys_-_Outbound_Marketing_Surface_VPATJ05340.xlsx"
Dynamics 365 Customer Insights Data and Journeys - Outbound Marketing,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Insights_Data_and_Journeys_-_Outbound_Marketing_Web_VPATJ05350.xlsx"
Dynamics 365 Customer Insights Data and Journeys - Real-Time,Android,2025/04/03,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Insights_Data_and_Journeys_-_Real-Time_Android_VPATJ05360.xlsx"
Dynamics 365 Customer Insights Data and Journeys - Real-Time,iOS,2025/04/03,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Insights_Data_and_Journeys_-_Real-Time_iOS_VPATJ05370.xlsx"
Dynamics 365 Customer Insights Data and Journeys - Real-Time,Surface,2025/04/03,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Insights_Data_and_Journeys_-_Real-Time_Surface_VPATJ05380.xlsx"
Dynamics 365 Customer Insights Data and Journeys - Real-Time,Web,2026/03/16,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Insights_Data_and_Journeys_-_Real-Time_Web_VPATJ05390.xlsx"
Dynamics 365 Customer Service Insights,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Service_Insights_Web_VPATJ05400.xlsx"
Dynamics 365 Customer Services Community,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Services_Community_Azure_VPATJ05410.xlsx"
Dynamics 365 Customer Services Community,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Services_Community_Web_VPATJ05420.xlsx"
Dynamics 365 Customer Voice,Web,2026/03/07,"https://vpatj.azurewebsites.net/file/Dynamics_365_Customer_Voice_Web_VPATJ05430.xlsx"
Dynamics 365 Demand Planning,Azure,2026/04/08,"https://vpatj.azurewebsites.net/file/Dynamics_365_Demand_Planning_Azure_VPATJ05440.xlsx"
Dynamics 365 Enterprise Sales - MS Teams Embedded Chat,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Enterprise_Sales_-_MS_Teams_Embedded_Chat_Web_VPATJ05450.xlsx"
Dynamics 365 Field Service,"Web, iOS, Android, Mac, Windows",2024/10/09,"https://vpatj.azurewebsites.net/file/Dynamics_365_Field_Service_Web_iOS_Android_Mac_Windows_VPATJ05460.xlsx"
Dynamics 365 Field Service,Web,2026/01/22,"https://vpatj.azurewebsites.net/file/Dynamics_365_Field_Service_Web_VPATJ05470.xlsx"
Dynamics 365 Field Service - Resource Scheduling Optimization,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Field_Service_-_Resource_Scheduling_Optimization_Azure_VPATJ05480.xlsx"
Dynamics 365 Field Service for M365,"Web, iOS, Android, Mac, Windows",2025/01/12,"https://vpatj.azurewebsites.net/file/Dynamics_365_Field_Service_for_M365_Web_iOS_Android_Mac_Windows_VPATJ05481.xlsx"
Dynamics 365 Field Service Mobile,Web,2024/08/12,"https://vpatj.azurewebsites.net/file/Dynamics_365_Field_Service_Mobile_Web_VPATJ05490.xlsx"
Dynamics 365 Finance,Azure,2025/09/08,"https://vpatj.azurewebsites.net/file/Dynamics_365_Finance_Azure_VPATJ05500.xlsx"
"Dynamics 365 Finance, Commerce and SCM",Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Finance_Commerce_and_SCM_Azure_VPATJ05510.xlsx"
Dynamics 365 for Field Service,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_for_Field_Service_Web_VPATJ05520.xlsx"
Dynamics 365 for Talent - Onboard,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_for_Talent_-_Onboard_Web_VPATJ05530.xlsx"
Dynamics 365 Fraud Protection,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Fraud_Protection_Web_VPATJ05540.xlsx"
Dynamics 365 Gamification,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Gamification_Web_VPATJ05550.xlsx"
Dynamics 365 Human Resources,"Web, Win32, iOS, and Android",2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Human_Resources_Web_Win32_iOS_and_Android_VPATJ05560.xlsx"
Dynamics 365 Human Resources (Operations),Web,2026/01/23,"https://vpatj.azurewebsites.net/file/Dynamics_365_Human_Resources_Operations_Web_VPATJ05570.xlsx"
Dynamics 365 Intelligent Order Management,Web,2026/03/18,"https://vpatj.azurewebsites.net/file/Dynamics_365_Intelligent_Order_Management_Web_VPATJ05580.xlsx"
Dynamics 365 Inventory Visibility,Azure,2026/04/27,"https://vpatj.azurewebsites.net/file/Dynamics_365_Inventory_Visibility_Azure_VPATJ05582.xlsx"
Dynamics 365 Marketing,iOS,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Marketing_iOS_VPATJ05600.xlsx"
Dynamics 365 Marketing,Android,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Marketing_Android_VPATJ05610.xlsx"
Dynamics 365 Marketing,Surface,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Marketing_Surface_VPATJ05620.xlsx"
Dynamics 365 Marketing,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Marketing_Web_VPATJ05630.xlsx"
Dynamics 365 Marketing Website,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Marketing_Website_VPATJ05640.xlsx"
Dynamics 365 Office Integration,Web,2025/03/27,"https://vpatj.azurewebsites.net/file/Dynamics_365_Office_Integration_Web_VPATJ05642.xlsx"
Dynamics 365 Office Apps,Web,2025/11/17,"https://vpatj.azurewebsites.net/file/Dynamics_365_Office_Apps_Web_VPATJ05643.xlsx"
Dynamics 365 Omnichannel for Customer Service,Web,2025/12/09,"https://vpatj.azurewebsites.net/file/Dynamics_365_Omnichannel_for_Customer_Service_Web_VPATJ05650.xlsx"
Dynamics 365 Portals - Portal Admin Center,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Portals_-_Portal_Admin_Center_Web_VPATJ05660.xlsx"
Dynamics 365 Project Operations,Web,2025/07/10,"https://vpatj.azurewebsites.net/file/Dynamics_365_Project_Operations_Web_VPATJ05670.xlsx"
Dynamics 365 Project Service Automation,Web,2025/04/29,"https://vpatj.azurewebsites.net/file/Dynamics_365_Project_Service_Automation_Web_VPATJ05680.xlsx"
Dynamics 365 Regression Suite Automation Tool,Win32,2026/05/28,"https://vpatj.azurewebsites.net/file/Dynamics_365_Regression_Suite_Automation_Tool_Win32_VPATJ05690.xlsx"
Dynamics 365 Remote Assist - Mobile,"Android, iOS",2025/03/18,"https://vpatj.azurewebsites.net/file/Dynamics_365_Remote_Assist_-_Mobile_Android_iOS_VPATJ05700.xlsx"
Dynamics 365 Remote Assist - Service,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Remote_Assist_-_Service_Web_VPATJ05710.xlsx"
Dynamics 365 Remote Assist (Solution and Frontdoor),Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Remote_Assist_Solution_and_Frontdoor_Web_VPATJ05720.xlsx"
Dynamics 365 Sales Insights CoPilot,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Sales_Insights_CoPilot_Web_VPATJ05730.xlsx"
Dynamics 365 Sales Mobile App [Android],Android,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Sales_Mobile_App_Android_VPATJ05740.xlsx"
Dynamics 365 Sales Mobile App [iOS],iOS,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Sales_Mobile_App_iOS_VPATJ05750.xlsx"
Dynamics 365 Sales Professional,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_365_Sales_Professional_Azure_VPATJ05760.xlsx"
Dynamics 365 Warehouse Management,"Android, Windows(UWP), IOS",2025/08/12,"https://vpatj.azurewebsites.net/file/Dynamics_365_Warehouse_Management_Android_Windows_UWP_IOS_VPATJ05770.xlsx"
Dynamics Regulatory services - Configuration,Dynamics,2024/05/14,"https://vpatj.azurewebsites.net/file/Dynamics_Regulatory_services_-_Configuration_VPATJ05780.xlsx"
E signature Adobe Sign,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/E_signature_Adobe_Sign_Web_VPATJ05790.xlsx"
EA (WAEP),Web,2024/05/14,"https://vpatj.azurewebsites.net/file/EA_WAEP_Web_VPATJ05800.xlsx"
EA (WAEP) - Sanya,Web,2025/10/28,"https://vpatj.azurewebsites.net/file/EA_WAEP_-_Sanya_Web_VPATJ05810.xlsx"
EA Extensions - Ibiza,Azure,2025/10/17,"https://vpatj.azurewebsites.net/file/EA_Extensions_-_Ibiza_Azure_VPATJ05811.xlsx"
EA Extensions - Ibiza,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/EA_Extensions_-_Ibiza_Web_VPATJ05820.xlsx"
ECST Portal,Web,2025/10/15,"https://vpatj.azurewebsites.net/file/ECST_Portal_Web_VPATJ05821.xlsx"
Easy Auth,Web,2025/08/13,"https://vpatj.azurewebsites.net/file/Easy_Auth_Web_VPATJ05822.xlsx"
Edge App (Android),Android,2025/10/23,"https://vpatj.azurewebsites.net/file/Edge_App_Android_VPATJ05830.xlsx"
Edge App (iOS),iOS,2025/08/25,"https://vpatj.azurewebsites.net/file/Edge_App_iOS_VPATJ05840.xlsx"
Edge Configuration Manager,Web,2025/09/09,"https://vpatj.azurewebsites.net/file/Edge_Configuration_Manager_Web_VPATJ05842.xlsx"
Edge Browser,Xbox,2026/03/04,"https://vpatj.azurewebsites.net/file/Edge_Browser_Xbox_VPATJ05843.xlsx"
Edge Developer Tools for Visual Studio Code,Win32,2025/11/12,"https://vpatj.azurewebsites.net/file/Edge_Developer_Tools_for_Visual_Studio_Code_Win32_VPATJ05850.xlsx"
Edge Extensions Submission Website,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Edge_Extensions_Submission_Website_VPATJ05860.xlsx"
Edge Extensions Submission Website (Registration Portal),Web,2025/10/23,"https://vpatj.azurewebsites.net/file/Edge_Extensions_Submission_Website_Registration_Portal_VPATJ05870.xlsx"
Education Professional Development Training Tracker,Web,2024/07/19,"https://vpatj.azurewebsites.net/file/Education_Professional_Development_Training_Tracker_Web_VPATJ05880.xlsx"
Elastic Jobs,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Elastic_Jobs_Azure_VPATJ05890.xlsx"
